Rank,Contractor,TotalCost,NumProjects,AvgDelay,TotalSavings,ReliabilityIndex,RiskFlag
188,"SKYLINE CONSTRUCTION, EQUIPMENT AND DEVELOPMENT CORPORATION(FORMERLY: EDDIE G. GUILLEN BUILDERS INC.",452150800.00,9,317.11,3000000.00,0.00,High Risk
189,PRIME PACIFIC MARINE & INDUSTRIAL SERVICES CORP.,450650223.88,5,514.40,819552.50,0.00,High Risk
190,M.T. MALIUANAG CONSTRUCTION SERVICES,443682064.00,6,205.17,1117936.00,0.00,High Risk
191,MORTAR MASTERS & CONCRETE BUILDERS,441772069.18,10,557.90,7741561.69,0.00,High Risk
192,3DIAMONDS CONSTRUCTION CORPORATION,441377521.39,9,200.33,103069948.94,0.00,High Risk
193,CDC CONSTRUCTION & SUPPLIES,441318045.94,8,172.88,-409357.02,0.09,High Risk
194,RAMISES CONSTRUCTION,438635945.55,7,313.14,4660234.45,0.00,High Risk
195,ROCK-WBL CONSTRUCTION CORP. (FOR: ROCK-WBL CONSTRUCTION TRADING & SERVICES),435956367.88,7,213.71,-581662.00,0.18,High Risk
196,KENNETH CONSTRUCTION AND GENERAL MERCHANDISE,434267504.76,9,296.78,387076.25,0.00,High Risk
197,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION) / MIGHTY HOK SUMMIT CONSTRUCTION & DEVELOPMENT CORP.,430761415.08,8,256.88,0.00,-0.00,High Risk
198,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION) / M.K.U. CONSTRUCTION AND SUPPLY,429425000.00,5,319.80,0.00,-0.00,High Risk
199,C.V. CONSTRUCTION & DEVELOPMENT,426703579.41,7,251.00,1496420.59,0.00,High Risk
200,JGO BUILDERS,415916316.77,8,289.12,2454743.13,0.00,High Risk
201,R.T.Y. CONSTRUCTION,415617178.35,6,266.17,303698.05,0.00,High Risk
202,MAMSAR CONSTRUCTION AND INDUSTRIAL CORPORATION,413799388.40,9,382.56,5650517.80,0.00,High Risk
203,KATHA BUILDERS & SUPPLIES INC.,413466601.75,6,240.50,4632217.83,0.00,High Risk
204,SILVER DRAGON CONSTRUCTION & LUMBER & GLASS SUPPLY INC.,409314613.07,9,328.11,2342625.17,0.00,High Risk
205,"TOUGHBUILT CONSTRUCTION & TRADING, INC.",409069946.58,12,278.00,9629529.80,0.00,High Risk
206,MINDANAO ROCK,408615359.23,9,428.11,14285020.77,0.00,High Risk
207,GACUTAN CONSTRUCTION INC. (FORMERLY: GACUTAN CONSTRUCTION),406047226.26,5,118.20,2773.74,0.00,High Risk
208,EDDMARI CONSTRUCTION & TRADING,405568236.95,6,235.83,21131763.05,0.00,High Risk
209,PABLO S. LABASBAS CONSTRUCTION CORPORATION (FORMERLY: PABLOS. LABASBAS CONSTRUCTION CORPORATION),402563910.72,10,257.70,693111.77,0.00,High Risk
210,TCSC CORP. / EFREN RAMIREZ CONSTRUCTION AND GENERAL SERVICES CORPORATION,401849939.78,7,423.00,-785.00,0.00,High Risk
211,UNIVERSAL DE LEON CONSTRUCTION AND AGGREGATES,400508326.00,6,323.33,191653.00,0.00,High Risk
212,ARCINUE COMM'L CORPORATION,399987826.25,5,292.20,-248399.08,0.14,High Risk
213,DJCM CONSTRUCTION CORPORATION (FORMERLY: DJCM CONSTRUCTION),399448581.22,9,180.00,2400096.13,0.00,High Risk
214,"A.L. SALAZAR CONSTRUCTION, INC. / ROTAFLEX CONSTRUCTION AND DEVELOPMENT CORP. (FORMERLY:ROTA FLEX CONSTRUCTION)",397089557.36,6,335.50,5877506.38,0.00,High Risk
215,MRB11 CONSTRUCTION CORPORATION (FORMERLY:MRB CONS,395989932.23,7,250.86,7840787.89,0.00,High Risk
216,ARQ BUILDERS,390961635.26,7,303.29,15530864.74,0.00,High Risk
